X;Y;Z
57.2988;-21.6574;48.127
59.8627;-22.3086;49.0281
61.5758;-22.6784;49.3317
61.4981;-23.1806;48.4564
59.2749;-24.4536;46.3033
55.532;-26.3858;43.4641
51.3377;-28.9944;40.7277
47.2196;-31.6819;38.3383
42.1244;-33.8916;35.5731
36.3706;-35.1843;32.5356
30.7978;-35.8388;29.7702
25.6452;-36.5298;27.3816
20.2744;-37.1608;24.7474
14.813;-36.818;21.6432
10.0954;-34.1759;18.5042
6.2883;-29.9607;15.5969
4.118;-24.7116;13.2545
3.7326;-19.2932;11.2429
3.6246;-15.1816;9.5797
3.1846;-11.6443;8.1276
3.3517;-8.6649;6.8646
4.6259;-6.0267;5.7035
6.6214;-3.5501;4.4789
8.6798;-1.9861;3.092
10.2695;-1.128;1.614
11.9562;-0.5926;0.1233
13.5673;-0.3725;-1.2622
15.0029;-0.4318;-2.453
16.1505;-0.5173;-3.4729
16.9451;-0.3221;-4.2513
16.9398;0.1762;-4.6852
16.4034;0.5792;-4.832
15.4671;0.2341;-4.6135
14.6419;-1.2133;-4.3568
14.799;-2.7551;-4.2509
15.4345;-4.0742;-4.1356
16.095;-4.6499;-3.9364
16.5413;-4.6112;-3.651
17.1717;-4.3033;-3.4113
18.3163;-3.9688;-3.0753
19.7686;-3.6333;-2.5865
21.4059;-3.5673;-2.0098
22.9911;-3.7264;-1.3966
23.9421;-3.9987;-0.7508
24.723;-4.0363;-0.0898
25.2935;-3.7943;0.6006
25.5283;-3.2741;1.4442
25.812;-2.6923;2.2278
26.0054;-2.3146;2.8053
26.5236;-2.0516;3.201
27.4133;-2.089;3.4531
28.673;-2.3432;3.5859
30.2951;-2.3096;3.4696
31.9919;-1.9624;3.0649
33.1408;-1.4793;2.4861
33.7171;-0.7798;1.9693
33.6843;0.2775;1.6459
33.5637;1.2276;1.5003
33.5652;2.157;1.4388
33.3861;3.0678;1.3764
33.377;2.7635;1.2684
33.5225;1.6584;1.1689
33.6963;0.2252;1.1078
33.8738;-1.3116;1.0938
34.0901;-2.8783;1.1399
34.3799;-4.539;1.2075
34.6882;-6.2078;1.2968
34.9467;-7.6779;1.4406
35.1468;-8.6825;1.6078
35.3834;-9.3595;1.7237
35.7987;-9.971;1.8587
36.461;-10.804;1.9784
37.3979;-12.1233;2.1624
38.5491;-14.0259;2.5322
39.7516;-16.092;3.1781
40.8928;-18.1472;4.046
41.9584;-19.9529;5.0706
42.9009;-21.1398;6.1524
42.6989;-20.5577;6.6818
43.8216;-19.2185;7.3118
45.6645;-16.8699;7.9902
48.0829;-14.4558;8.7328
50.7778;-12.6383;9.4143
53.1708;-11.2907;9.9464
55.1325;-10.2434;10.3322
56.5202;-9.5887;10.6186
57.5676;-9.1967;10.7937
58.1242;-9.0104;10.9142
58.0601;-9.0085;10.7886
57.5926;-8.9845;10.4213
57.0521;-8.6553;9.8865
56.3591;-8.2903;9.1968
55.5214;-8.0021;8.4709
54.8789;-7.5467;7.7528
54.6577;-7.1777;7.0814
54.466;-6.7907;6.4207
54.6969;-6.725;5.792
55.4665;-6.9278;5.2793
56.3564;-6.7694;4.8364
56.7844;-6.3944;4.2769
56.6952;-5.9004;3.5265
56.1624;-5.1719;2.6888
55.6972;-4.1157;1.7979
